file	format	rate	rank	source	owner	complete	url
single/2777_2777_みるふぃ_Gyarados_Mega_Gengar_Offense.txt	single	2777	7	x	みるふぃ	yes	https://pkmnchamps.com/parties/2242f3cd-9f00-4118-8821-f82c42f6787c
single/2776_2776_ピッツ_Mega_Starmie_Mega_Floette_Offense.txt	single	2776	8	x	ピッツ	yes	https://pkmnchamps.com/parties/09e6c48f-eed2-4814-973a-81c487229482
single/2769_2769_ミルク_Garchomp_Mega_Dragonite_Offense.txt	single	2769	9	x	ミルク	yes	https://pkmnchamps.com/parties/886a135b-13da-41d4-9fc1-1bdd56432ddc
single/2763_2763_シグマ_Mega_Glimmora_Mega_Starmie_Offense.txt	single	2763	10	x	シグマ	yes	https://pkmnchamps.com/parties/0bcfcfd6-db91-486b-80fa-31eed7814d5b
single/2748_2748_よしこぽけ_Mega_Gengar_Garchomp_Offense.txt	single	2748	11	x	よしこぽけ	yes	https://pkmnchamps.com/parties/2aa56d96-c5c3-4c0d-ae82-0a9ae7ff9de6
single/2582_2582_Sand_Balance_with_Mega_Floette.txt	single	2582	1	x	ほかぜ	yes	https://pkmnchamps.com/parties/e1d49eb5-21cb-43ce-abae-2fa9c7a4f8ba
single/2500_메가팬텀_그림자밟기_주력_파티.txt	single	2500	225	youtube	denson_rainy	yes	https://pkmnchamps.com/parties/aaba4a3e-fdd7-46c6-bb8a-c1d3cab35707
single/2403_2403_엑자몽_중심_10일전_랭크_13위_달성_파티.txt	single	2403	13	youtube	따라큐	yes	https://pkmnchamps.com/parties/6c43e8c9-0c0a-4b5f-9f5e-0ad46bee6029
single/2100_Sandstorm_Offense_with_Mega-Tyranitar.txt	single			x	てらまつ	yes	https://pkmnchamps.com/parties/05032f48-3591-4c0d-a023-d9f9554eca83
single/2339_따라큐_Mega_Charizard_X_Lucario_Offense.txt	single			x	따라큐	yes	https://pkmnchamps.com/parties/22c47e6d-1dc0-43d0-b9b2-5cb17ee70fcc
single/2432_Rank_3rd_-_Double_Mega_Balance_with_Aegislash.txt	single			x	おに	yes	https://pkmnchamps.com/parties/3469c203-0c7f-4bec-93b0-b01ccaf2a8f0
single/2400_싱글_2100에서_2400올린_파티.txt	single			youtube	ひとつ	yes	https://pkmnchamps.com/parties/5eac3254-dc2a-493f-89d6-86635ee022f0
single/2200_가람_Mega_Gengar_and_Kangaskhan_Offense.txt	single			x	가람	yes	https://pkmnchamps.com/parties/69820ad9-b39c-4f6b-92ba-26cbc6dbb25d
single/2400_픽시_아쿠스타_밸런스_파티.txt	single			youtube	D_con0223	yes	https://pkmnchamps.com/parties/7a959eee-a564-42c7-94f1-bd409da412b1
single/2400_메가샤크니아_메가메가니움_주축.txt	single			x	りあん	yes	https://pkmnchamps.com/parties/80af6ccc-5f23-4041-9e15-426dffacd0af
single/2200_Ayaka_p_p_Delphox_and_Friends_Offense.txt	single			x	あやちゃも	yes	https://pkmnchamps.com/parties/975190f4-1bee-4a8e-a658-c4f36eaa60c8
single/2280_Mega_Floette_and_Dragonite_Balance.txt	single			x	けもゆしあ	yes	https://pkmnchamps.com/parties/b25c6321-3214-44b4-8567-77ac569402c9
single/2277_Single_Ranker_MAV.txt	single			x	MAV	yes	https://pkmnchamps.com/parties/ffc3324f-1df2-4da8-9121-f8c1fca56b38
